station_id,hour,dayOfWeek,isHolidays,isWeekend,velosReels,Erreur absolue,velosPredits
041,16,0,0,0,2.0,0.0,2
041,16,0,0,0,2.0,0.0,2
041,16,0,0,0,2.0,0.0,2
041,16,0,0,0,2.0,0.0,2
041,16,0,0,0,2.0,0.0,2
041,16,0,0,0,2.0,0.0,2
041,16,0,0,0,2.0,0.0,2
041,16,0,0,0,2.0,0.0,2
041,16,0,0,0,2.0,0.0,2
041,16,0,0,0,2.0,0.0,2
041,16,0,0,0,2.0,0.0,2
041,16,0,0,0,2.0,0.0,2
041,16,0,0,0,2.0,0.0,2
041,16,0,0,0,2.0,0.0,2
041,16,0,0,0,2.0,0.0,2
041,16,0,0,0,2.0,0.0,2
041,16,0,0,0,2.0,0.0,2
041,16,0,0,0,2.0,0.0,2
041,16,0,0,0,2.0,0.0,2
041,16,0,0,0,2.0,0.0,2
041,16,0,0,0,2.0,0.0,2
041,16,0,0,0,2.0,0.0,2
041,16,0,0,0,2.0,0.0,2
041,16,0,0,0,2.0,0.0,2
041,16,0,0,0,2.0,0.0,2
041,16,0,0,0,2.0,0.0,2
041,16,0,0,0,2.0,0.0,2
041,16,0,0,0,2.0,0.0,2
041,16,0,0,0,2.0,0.0,2
041,16,0,0,0,2.0,0.0,2
041,16,0,0,0,2.0,0.0,2
041,16,0,0,0,2.0,0.0,2
041,16,0,0,0,2.0,0.0,2
041,16,0,0,0,2.0,0.0,2
041,16,0,0,0,2.0,0.0,2
041,16,0,0,0,2.0,0.0,2
041,16,0,0,0,2.0,0.0,2
041,16,0,0,0,2.0,0.0,2
041,16,0,0,0,2.0,0.0,2
041,16,0,0,0,2.0,0.0,2
041,16,0,0,0,2.0,0.0,2
041,16,0,0,0,2.0,0.0,2
041,16,0,0,0,2.0,0.0,2
041,16,0,0,0,2.0,0.0,2
041,16,0,0,0,2.0,0.0,2
041,16,0,0,0,2.0,0.0,2
041,16,0,0,0,2.0,0.0,2
041,16,0,0,0,2.0,0.0,2
041,16,0,0,0,2.0,0.0,2
041,16,0,0,0,2.0,0.0,2
041,17,0,0,0,2.0,0.0,2
041,17,0,0,0,2.0,0.0,2
041,17,0,0,0,2.0,0.0,2
041,17,0,0,0,2.0,0.0,2
041,17,0,0,0,2.0,0.0,2
041,17,0,0,0,2.0,0.0,2
041,17,0,0,0,2.0,0.0,2
041,17,0,0,0,2.0,0.0,2
041,17,0,0,0,2.0,0.0,2
041,17,0,0,0,2.0,0.0,2
041,17,0,0,0,2.0,0.0,2
041,17,0,0,0,2.0,0.0,2
041,17,0,0,0,2.0,0.0,2
041,17,0,0,0,2.0,0.0,2
041,17,0,0,0,2.0,0.0,2
041,17,0,0,0,2.0,0.0,2
041,17,0,0,0,2.0,0.0,2
041,17,0,0,0,2.0,0.0,2
041,17,0,0,0,2.0,0.0,2
041,17,0,0,0,2.0,0.0,2
041,17,0,0,0,2.0,0.0,2
041,17,0,0,0,2.0,0.0,2
041,17,0,0,0,2.0,0.0,2
041,17,0,0,0,2.0,0.0,2
041,17,0,0,0,2.0,0.0,2
041,17,0,0,0,2.0,0.0,2
041,17,0,0,0,2.0,0.0,2
041,17,0,0,0,2.0,0.0,2
041,17,0,0,0,2.0,0.0,2
041,17,0,0,0,2.0,0.0,2
041,17,0,0,0,2.0,0.0,2
041,17,0,0,0,2.0,0.0,2
041,17,0,0,0,2.0,0.0,2
041,17,0,0,0,2.0,0.0,2
041,17,0,0,0,2.0,0.0,2
041,17,0,0,0,2.0,0.0,2
041,17,0,0,0,2.0,0.0,2
041,17,0,0,0,2.0,0.0,2
041,17,0,0,0,2.0,0.0,2
041,17,0,0,0,2.0,0.0,2
041,17,0,0,0,2.0,0.0,2
041,17,0,0,0,2.0,0.0,2
041,17,0,0,0,2.0,0.0,2
041,17,0,0,0,2.0,0.0,2
041,17,0,0,0,2.0,0.0,2
041,17,0,0,0,2.0,0.0,2
041,17,0,0,0,2.0,0.0,2
041,17,0,0,0,2.0,0.0,2
041,17,0,0,0,2.0,0.0,2
041,17,0,0,0,2.0,0.0,2
041,17,0,0,0,2.0,0.0,2
041,17,0,0,0,2.0,0.0,2
041,17,0,0,0,2.0,0.0,2
041,17,0,0,0,2.0,0.0,2
041,17,0,0,0,2.0,0.0,2
041,17,0,0,0,2.0,0.0,2
041,17,0,0,0,2.0,0.0,2
041,17,0,0,0,2.0,0.0,2
041,17,0,0,0,2.0,0.0,2
041,17,0,0,0,2.0,0.0,2
041,18,0,0,0,2.0,0.0,2
041,18,0,0,0,2.0,0.0,2
041,18,0,0,0,2.0,0.0,2
041,18,0,0,0,2.0,0.0,2
041,18,0,0,0,2.0,0.0,2
041,18,0,0,0,2.0,0.0,2
041,18,0,0,0,2.0,0.0,2
041,18,0,0,0,2.0,0.0,2
041,18,0,0,0,2.0,0.0,2
041,18,0,0,0,2.0,0.0,2
041,18,0,0,0,2.0,0.0,2
041,18,0,0,0,2.0,0.0,2
041,18,0,0,0,2.0,0.0,2
041,18,0,0,0,2.0,0.0,2
041,18,0,0,0,2.0,0.0,2
041,18,0,0,0,2.0,0.0,2
041,18,0,0,0,2.0,0.0,2
041,18,0,0,0,2.0,0.0,2
041,18,0,0,0,2.0,0.0,2
041,18,0,0,0,2.0,0.0,2
041,18,0,0,0,2.0,0.0,2
041,18,0,0,0,2.0,0.0,2
041,18,0,0,0,2.0,0.0,2
041,18,0,0,0,2.0,0.0,2
041,18,0,0,0,2.0,0.0,2
041,18,0,0,0,2.0,0.0,2
041,18,0,0,0,2.0,0.0,2
041,18,0,0,0,2.0,0.0,2
041,18,0,0,0,2.0,0.0,2
041,18,0,0,0,2.0,0.0,2
041,18,0,0,0,2.0,0.0,2
041,18,0,0,0,2.0,0.0,2
041,18,0,0,0,2.0,0.0,2
041,18,0,0,0,2.0,0.0,2
041,18,0,0,0,2.0,0.0,2
041,18,0,0,0,2.0,0.0,2
041,18,0,0,0,2.0,0.0,2
041,18,0,0,0,2.0,0.0,2
041,18,0,0,0,2.0,0.0,2
041,18,0,0,0,2.0,0.0,2
041,18,0,0,0,2.0,0.0,2
041,18,0,0,0,2.0,0.0,2
041,18,0,0,0,2.0,0.0,2
041,18,0,0,0,2.0,0.0,2
041,18,0,0,0,2.0,0.0,2
041,18,0,0,0,2.0,0.0,2
041,18,0,0,0,2.0,0.0,2
041,18,0,0,0,2.0,0.0,2
041,18,0,0,0,2.0,0.0,2
041,18,0,0,0,2.0,0.0,2
041,18,0,0,0,2.0,0.0,2
041,18,0,0,0,2.0,0.0,2
041,18,0,0,0,2.0,0.0,2
041,18,0,0,0,2.0,0.0,2
041,18,0,0,0,2.0,0.0,2
041,18,0,0,0,2.0,0.0,2
041,18,0,0,0,2.0,0.0,2
041,18,0,0,0,2.0,0.0,2
041,18,0,0,0,2.0,0.0,2
041,18,0,0,0,2.0,0.0,2
041,19,0,0,0,2.0,0.0,2
041,19,0,0,0,2.0,0.0,2
041,19,0,0,0,2.0,0.0,2
041,19,0,0,0,2.0,0.0,2
041,19,0,0,0,2.0,0.0,2
041,19,0,0,0,2.0,0.0,2
041,19,0,0,0,2.0,0.0,2
041,19,0,0,0,2.0,0.0,2
041,19,0,0,0,2.0,0.0,2
041,19,0,0,0,2.0,0.0,2
041,19,0,0,0,2.0,0.0,2
041,19,0,0,0,2.0,0.0,2
041,19,0,0,0,2.0,0.0,2
041,19,0,0,0,2.0,0.0,2
041,19,0,0,0,2.0,0.0,2
041,19,0,0,0,2.0,0.0,2
041,19,0,0,0,2.0,0.0,2
041,19,0,0,0,2.0,0.0,2
041,19,0,0,0,2.0,0.0,2
041,19,0,0,0,2.0,0.0,2
041,19,0,0,0,2.0,0.0,2
041,19,0,0,0,2.0,0.0,2
041,19,0,0,0,2.0,0.0,2
041,19,0,0,0,2.0,0.0,2
041,19,0,0,0,2.0,0.0,2
041,19,0,0,0,2.0,0.0,2
041,19,0,0,0,2.0,0.0,2
041,19,0,0,0,2.0,0.0,2
041,19,0,0,0,2.0,0.0,2
041,19,0,0,0,2.0,0.0,2
041,19,0,0,0,2.0,0.0,2
041,19,0,0,0,2.0,0.0,2
041,19,0,0,0,2.0,0.0,2
041,19,0,0,0,2.0,0.0,2
041,19,0,0,0,2.0,0.0,2
041,19,0,0,0,2.0,0.0,2
041,19,0,0,0,2.0,0.0,2
041,19,0,0,0,2.0,0.0,2
041,19,0,0,0,2.0,0.0,2
041,19,0,0,0,2.0,0.0,2
041,19,0,0,0,2.0,0.0,2
041,19,0,0,0,2.0,0.0,2
041,19,0,0,0,2.0,0.0,2
041,19,0,0,0,2.0,0.0,2
041,19,0,0,0,2.0,0.0,2
041,19,0,0,0,2.0,0.0,2
041,19,0,0,0,2.0,0.0,2
041,19,0,0,0,2.0,0.0,2
041,19,0,0,0,2.0,0.0,2
041,19,0,0,0,2.0,0.0,2
041,19,0,0,0,2.0,0.0,2
041,19,0,0,0,2.0,0.0,2
041,19,0,0,0,2.0,0.0,2
041,19,0,0,0,2.0,0.0,2
041,19,0,0,0,2.0,0.0,2
041,19,0,0,0,2.0,0.0,2
041,19,0,0,0,2.0,0.0,2
041,19,0,0,0,2.0,0.0,2
041,19,0,0,0,2.0,0.0,2
041,19,0,0,0,2.0,0.0,2
041,20,0,0,0,2.0,0.0,2
041,20,0,0,0,2.0,0.0,2
041,20,0,0,0,2.0,0.0,2
041,20,0,0,0,2.0,0.0,2
041,20,0,0,0,2.0,0.0,2
041,20,0,0,0,2.0,0.0,2
041,20,0,0,0,2.0,0.0,2
041,20,0,0,0,2.0,0.0,2
041,20,0,0,0,2.0,0.0,2
041,20,0,0,0,2.0,0.0,2
041,20,0,0,0,2.0,0.0,2
041,20,0,0,0,2.0,0.0,2
041,20,0,0,0,2.0,0.0,2
041,20,0,0,0,2.0,0.0,2
041,20,0,0,0,2.0,0.0,2
041,20,0,0,0,2.0,0.0,2
041,20,0,0,0,2.0,0.0,2
041,20,0,0,0,2.0,0.0,2
041,20,0,0,0,2.0,0.0,2
041,20,0,0,0,2.0,0.0,2
041,20,0,0,0,2.0,0.0,2
041,20,0,0,0,2.0,0.0,2
041,20,0,0,0,2.0,0.0,2
041,20,0,0,0,2.0,0.0,2
041,20,0,0,0,2.0,0.0,2
041,20,0,0,0,2.0,0.0,2
041,20,0,0,0,2.0,0.0,2
041,20,0,0,0,2.0,0.0,2
041,20,0,0,0,2.0,0.0,2
041,20,0,0,0,2.0,0.0,2
041,20,0,0,0,2.0,0.0,2
041,20,0,0,0,2.0,0.0,2
041,20,0,0,0,2.0,0.0,2
041,20,0,0,0,2.0,0.0,2
041,20,0,0,0,2.0,0.0,2
041,20,0,0,0,2.0,0.0,2
041,20,0,0,0,2.0,0.0,2
041,20,0,0,0,2.0,0.0,2
041,20,0,0,0,2.0,0.0,2
041,20,0,0,0,2.0,0.0,2
041,20,0,0,0,2.0,0.0,2
041,20,0,0,0,2.0,0.0,2
041,20,0,0,0,2.0,0.0,2
041,20,0,0,0,2.0,0.0,2
041,20,0,0,0,2.0,0.0,2
041,20,0,0,0,2.0,0.0,2
041,20,0,0,0,2.0,0.0,2
041,20,0,0,0,2.0,0.0,2
041,20,0,0,0,2.0,0.0,2
041,20,0,0,0,2.0,0.0,2
041,20,0,0,0,2.0,0.0,2
041,20,0,0,0,2.0,0.0,2
041,20,0,0,0,2.0,0.0,2
041,20,0,0,0,2.0,0.0,2
041,20,0,0,0,2.0,0.0,2
041,20,0,0,0,2.0,0.0,2
